task_id,experiment_id,ratio_id,match_to_non_match_ratio,model_id,seed,train_positive_count,train_negative_count,train_total_count,validation_split,validation_row_count,test_split,test_row_count,validation_prediction_path,test_prediction_path,writes_files_now,fit_allowed
task_001,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,logistic_regression,13,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\logistic_regression\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\logistic_regression\seed_13\test.csv,False,False
task_002,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,logistic_regression,29,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\logistic_regression\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\logistic_regression\seed_29\test.csv,False,False
task_003,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,logistic_regression,47,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\logistic_regression\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\logistic_regression\seed_47\test.csv,False,False
task_004,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,logistic_regression,71,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\logistic_regression\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\logistic_regression\seed_71\test.csv,False,False
task_005,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,logistic_regression,101,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\logistic_regression\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\logistic_regression\seed_101\test.csv,False,False
task_006,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,random_forest,13,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\random_forest\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\random_forest\seed_13\test.csv,False,False
task_007,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,random_forest,29,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\random_forest\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\random_forest\seed_29\test.csv,False,False
task_008,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,random_forest,47,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\random_forest\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\random_forest\seed_47\test.csv,False,False
task_009,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,random_forest,71,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\random_forest\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\random_forest\seed_71\test.csv,False,False
task_010,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,random_forest,101,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\random_forest\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\random_forest\seed_101\test.csv,False,False
task_011,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,svm,13,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\svm\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\svm\seed_13\test.csv,False,False
task_012,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,svm,29,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\svm\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\svm\seed_29\test.csv,False,False
task_013,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,svm,47,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\svm\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\svm\seed_47\test.csv,False,False
task_014,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,svm,71,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\svm\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\svm\seed_71\test.csv,False,False
