ratio_id,match_to_non_match_ratio,model_id,fixed_test_label_counts,matched_test_label_counts,fixed_test_f1_mean,matched_test_f1_mean,delta_test_f1_mean,fixed_test_precision_mean,matched_test_precision_mean,delta_test_precision_mean,fixed_test_recall_mean,matched_test_recall_mean,delta_test_recall_mean
match_1_nonmatch_1,1:1,logistic_regression,"{""0"": 4000, ""1"": 500}","{""0"": 500, ""1"": 500}",0.522357478549679,0.7554748564676588,0.23311737791797982,0.4256786068887495,0.8537796825882654,0.42810107569951594,0.6776,0.6776,0.0
match_1_nonmatch_1,1:1,random_forest,"{""0"": 4000, ""1"": 500}","{""0"": 500, ""1"": 500}",0.5464659600876338,0.782462373906762,0.23599641381912817,0.4410039920985321,0.856289230514715,0.41528523841618287,0.7216,0.7216,0.0
match_1_nonmatch_1,1:1,svm,"{""0"": 4000, ""1"": 500}","{""0"": 500, ""1"": 500}",0.5287044876170854,0.7547528711728942,0.2260483835558088,0.434862078402816,0.8572362469543349,0.4223741685515189,0.6744,0.6744,0.0
match_1_nonmatch_2,1:2,logistic_regression,"{""0"": 4000, ""1"": 500}","{""0"": 1000, ""1"": 500}",0.5285278829240377,0.7074391110826236,0.17891122815858584,0.43628014556935996,0.746344499449305,0.3100643538799451,0.674,0.674,0.0
match_1_nonmatch_2,1:2,random_forest,"{""0"": 4000, ""1"": 500}","{""0"": 1000, ""1"": 500}",0.5575836592034913,0.740234825430515,0.1826511662270237,0.45914399589697374,0.7714291604070446,0.3122851645100708,0.7124,0.7124,0.0
match_1_nonmatch_2,1:2,svm,"{""0"": 4000, ""1"": 500}","{""0"": 1000, ""1"": 500}",0.5271499162111754,0.7119659069872102,0.18481599077603483,0.4298382710949886,0.7453024431039434,0.3154641720089548,0.682,0.682,0.0
match_1_nonmatch_3,1:3,logistic_regression,"{""0"": 4000, ""1"": 500}","{""0"": 1500, ""1"": 500}",0.5214591928923668,0.669753337873656,0.14829414498128923,0.41889200016447187,0.6494430173868616,0.23055101722238974,0.692,0.692,0.0
match_1_nonmatch_3,1:3,random_forest,"{""0"": 4000, ""1"": 500}","{""0"": 1500, ""1"": 500}",0.5499925921651603,0.6954796284168415,0.14548703625168125,0.45354502356487514,0.6914618732340369,0.2379168496691617,0.704,0.704,0.0
match_1_nonmatch_3,1:3,svm,"{""0"": 4000, ""1"": 500}","{""0"": 1500, ""1"": 500}",0.5309533548825731,0.6698437962282009,0.13889044134562778,0.4406411442606178,0.6721038626814527,0.23146271842083493,0.6684,0.6684,0.0
match_1_nonmatch_4,1:4,logistic_regression,"{""0"": 4000, ""1"": 500}","{""0"": 2000, ""1"": 500}",0.5358615004122012,0.6381922625691608,0.10233076215695969,0.45582047685834504,0.6269206111962997,0.17110013433795468,0.65,0.65,0.0
match_1_nonmatch_4,1:4,random_forest,"{""0"": 4000, ""1"": 500}","{""0"": 2000, ""1"": 500}",0.5598631874163362,0.6661141277614179,0.10625094034508165,0.46980980732376343,0.6408445139354231,0.17103470661165965,0.6952,0.6952,0.0
match_1_nonmatch_4,1:4,svm,"{""0"": 4000, ""1"": 500}","{""0"": 2000, ""1"": 500}",0.5295473051367368,0.639368344659508,0.10982103952277122,0.43678721061618153,0.6096036930736457,0.17281648245746417,0.6724,0.6724,0.0
