rank_by_test_f1,ratio_id,match_to_non_match_ratio,model_id,train_label_counts,seeds,selected_thresholds,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std
1,match_1_nonmatch_4,1:4,random_forest,"{""0"": 2000, ""1"": 500}","[13, 29, 47, 71, 101]","[0.32, 0.37, 0.4, 0.38, 0.33]",0.46980980732376343,0.019139505455088784,0.6952,0.033184333653095976,0.5598631874163362,0.0030943756168219064
2,match_1_nonmatch_2,1:2,random_forest,"{""0"": 1000, ""1"": 500}","[13, 29, 47, 71, 101]","[0.54, 0.49, 0.45, 0.47, 0.48]",0.45914399589697374,0.02241419351982942,0.7124,0.02899655151910308,0.5575836592034913,0.009708686691557344
3,match_1_nonmatch_3,1:3,random_forest,"{""0"": 1500, ""1"": 500}","[13, 29, 47, 71, 101]","[0.38, 0.46, 0.37, 0.36, 0.44]",0.45354502356487514,0.02827914057253372,0.704,0.04567274898667693,0.5499925921651603,0.006856716098050768
4,match_1_nonmatch_1,1:1,random_forest,"{""0"": 500, ""1"": 500}","[13, 29, 47, 71, 101]","[0.66, 0.71, 0.61, 0.62, 0.6]",0.4410039920985321,0.026310190079735108,0.7216,0.028754130138121007,0.5464659600876338,0.013328935929894674
5,match_1_nonmatch_4,1:4,logistic_regression,"{""0"": 2000, ""1"": 500}","[13, 29, 47, 71, 101]","[0.66, 0.66, 0.66, 0.66, 0.66]",0.45582047685834504,0.0,0.65,0.0,0.5358615004122012,0.0
6,match_1_nonmatch_3,1:3,svm,"{""0"": 1500, ""1"": 500}","[13, 29, 47, 71, 101]","[0.38, 0.42, 0.43, 0.37, 0.42]",0.4406411442606178,0.009874819705875532,0.6684,0.014099645385611667,0.5309533548825731,0.004000548813209792
7,match_1_nonmatch_4,1:4,svm,"{""0"": 2000, ""1"": 500}","[13, 29, 47, 71, 101]","[0.31, 0.34, 0.32, 0.34, 0.34]",0.43678721061618153,0.004334086700824968,0.6724,0.0035777087639996667,0.5295473051367368,0.0023275127069483487
8,match_1_nonmatch_1,1:1,svm,"{""0"": 500, ""1"": 500}","[13, 29, 47, 71, 101]","[0.68, 0.65, 0.64, 0.64, 0.65]",0.434862078402816,0.006034651512370772,0.6744,0.010430723848324247,0.5287044876170854,0.00418953140934888
9,match_1_nonmatch_2,1:2,logistic_regression,"{""0"": 1000, ""1"": 500}","[13, 29, 47, 71, 101]","[0.57, 0.66, 0.59, 0.66, 0.66]",0.43628014556935996,0.028050863978195558,0.674,0.029086079144497942,0.5285278829240377,0.01233807436639703
10,match_1_nonmatch_2,1:2,svm,"{""0"": 1000, ""1"": 500}","[13, 29, 47, 71, 101]","[0.44, 0.5, 0.47, 0.47, 0.48]",0.4298382710949886,0.01114427720166739,0.682,0.011401754250991346,0.5271499162111754,0.005530087647009518
11,match_1_nonmatch_1,1:1,logistic_regression,"{""0"": 500, ""1"": 500}","[13, 29, 47, 71, 101]","[0.6, 0.59, 0.62, 0.66, 0.63]",0.4256786068887495,0.019372460821159263,0.6776,0.01851485889765295,0.522357478549679,0.009289596368462416
12,match_1_nonmatch_3,1:3,logistic_regression,"{""0"": 1500, ""1"": 500}","[13, 29, 47, 71, 101]","[0.57, 0.62, 0.58, 0.65, 0.58]",0.41889200016447187,0.01611041805439323,0.692,0.01865475810617759,0.5214591928923668,0.007166393048565525
